timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-09-15T14:55:24.209904+00:00,car polish spray,B089Z96M1T,₹550.00,4.4 out of 5,397 ratings,Best Sellers Rank #888 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #10 in Dashboard & Trim Care,,,,https://www.amazon.in/dp/B089Z96M1T
2025-09-15T14:55:26.494075+00:00,car polish spray,B00TC5IA2E,₹160.00,4 out of 5,"5,987 ratings",Best Sellers Rank #179 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #3 in Dashboard & Trim Care,1.0,32.0,32.0,https://www.amazon.in/dp/B00TC5IA2E
2025-09-15T14:55:28.615546+00:00,car polish spray,B00TC5I66Y,₹150.00,4 out of 5,"40,632 ratings",Best Sellers Rank #20 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #1 in Polishes,1.0,5.0,5.0,https://www.amazon.in/dp/B00TC5I66Y
2025-09-15T14:55:30.603894+00:00,car polish spray,B0B38V7RKG,₹541.00,4.2 out of 5,136 ratings,"Best Sellers Rank: #2,024 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #18 in Waxes",1.0,4.0,4.0,https://www.amazon.in/dp/B0B38V7RKG
2025-09-15T14:55:32.744528+00:00,car polish spray,B07XYPS3PS,"₹1,699.00",4 out of 5,"25,940 ratings",Best Sellers Rank #435 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #46 in Paint Care,1.0,7.0,7.0,https://www.amazon.in/dp/B07XYPS3PS
2025-09-15T14:55:34.927172+00:00,car polish spray,B0DYYLR6G2,₹399.00,4.4 out of 5,96 ratings,Best Sellers Rank #812 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #8 in Cleaning Kits,1.0,13.0,13.0,https://www.amazon.in/dp/B0DYYLR6G2
2025-09-15T14:55:36.901037+00:00,car polish,B07QPCKGL4,₹232.00,4 out of 5,"40,632 ratings",Best Sellers Rank #20 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #1 in Polishes,1.0,5.0,5.0,https://www.amazon.in/dp/B07QPCKGL4
2025-09-15T14:55:39.193585+00:00,car polish,B00MHP9DA4,₹429.00,4.2 out of 5,"11,049 ratings",Best Sellers Rank #42 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #2 in Waxes,1.0,7.0,7.0,https://www.amazon.in/dp/B00MHP9DA4
2025-09-15T14:55:41.465691+00:00,car polish,B00MHQ8JKS,₹240.00,4 out of 5,"11,707 ratings",Best Sellers Rank #32 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #1 in Waxes,1.0,6.0,6.0,https://www.amazon.in/dp/B00MHQ8JKS
2025-09-15T14:55:43.370320+00:00,car polish,B00XCCQ0RK,₹662.00,4.3 out of 5,"5,813 ratings",Best Sellers Rank #122 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #5 in Polishes,1.0,8.0,8.0,https://www.amazon.in/dp/B00XCCQ0RK
2025-09-15T14:55:45.586875+00:00,car polish,B004HCOE8Q,₹714.00,4.1 out of 5,"4,117 ratings",Best Sellers Rank #405 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #16 in Polishes,1.0,19.0,19.0,https://www.amazon.in/dp/B004HCOE8Q
2025-09-15T14:55:47.798300+00:00,car body polish,B00MHP9DA4,₹429.00,4.2 out of 5,"11,049 ratings",Best Sellers Rank #42 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #2 in Waxes,1.0,7.0,7.0,https://www.amazon.in/dp/B00MHP9DA4
2025-09-15T14:55:50.230874+00:00,car body polish,B07QPCKGL4,₹232.00,4 out of 5,"40,632 ratings",Best Sellers Rank #20 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #1 in Polishes,1.0,6.0,6.0,https://www.amazon.in/dp/B07QPCKGL4
2025-09-15T14:55:52.352984+00:00,car body polish,B00MHQ8JKS,₹240.00,4 out of 5,"11,707 ratings",Best Sellers Rank #32 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #1 in Waxes,1.0,5.0,5.0,https://www.amazon.in/dp/B00MHQ8JKS
2025-09-15T14:55:54.602318+00:00,car body polish,B0B71CXXR6,₹631.00,4.1 out of 5,"3,508 ratings",Best Sellers Rank: #258 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #3 in Waxes,1.0,8.0,8.0,https://www.amazon.in/dp/B0B71CXXR6
